cfile,BestSansPip,OracleEP,TimeWithIPNaive,Diff,EPConfiguration,Index
557.xz+liblzma_rangecoder_price_table.c,1478.52,486.2,328.94,992.3199999999999,EP_Solver=Naive,0.0
526.blender+blender_source_blender_editors_io_io_ops.c,1702.82,615.0,816.58,1087.82,EP_Solver=Naive,1.0
526.blender+spec_backtrace.c,1704.38,641.8,486.42,1062.5800000000002,EP_Solver=Naive,2.0
502.gcc+vasprintf.c,1728.92,479.6,338.96,1249.3200000000002,EP_Solver=Naive,3.0
526.blender+blender_source_blender_editors_curve_lorem.c,1818.5,578.4,384.58,1240.1,EP_Solver=Naive,4.0
557.xz+liblzma_lzma_fastpos_table.c,1820.76,506.4,433.44,1314.3600000000001,EP_Solver=Naive,5.0
526.blender+blender_bin_source_blender_makesdna_intern_dna.c,1875.14,585.6,398.78,1289.54,EP_Solver=Naive,6.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_simple_frag.glsl.c,1959.4,608.2,474.84,1351.2,EP_Solver=Naive,7.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_vertex.glsl.c,1964.04,618.2,460.08,1345.84,EP_Solver=Naive,8.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_vsm_store_vert.glsl.c,2036.54,635.6,368.02,1400.94,EP_Solver=Naive,9.0
526.blender+blender_source_blender_blenlib_intern_system.c,2074.06,617.2,576.68,1456.86,EP_Solver=Naive,10.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_simple_vert.glsl.c,2122.3,565.4,437.6,1556.9,EP_Solver=Naive,11.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_material.glsl.c,2125.54,609.4,374.3,1516.1399999999999,EP_Solver=Naive,12.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_sep_gaussian_blur_vert.glsl.c,2177.98,569.4,441.32,1608.58,EP_Solver=Naive,13.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_vsm_store_frag.glsl.c,2207.36,576.4,469.46,1630.96,EP_Solver=Naive,14.0
507.cactuBSSN+CactusBindings_Functions_GenericFD_Functions.c,2251.52,664.2,662.94,1587.32,EP_Solver=Naive,15.0
502.gcc+cc1-checksum.c,2282.88,485.4,372.0,1797.48,EP_Solver=Naive,16.0
526.blender+blender_bin_release_datafiles_bmonofont.ttf.c,2294.12,595.0,404.32,1699.12,EP_Solver=Naive,17.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_sep_gaussian_blur_frag.glsl.c,2364.74,701.4,447.86,1663.3399999999997,EP_Solver=Naive,18.0
gdb-15.2+sim_common_version.c,2440.4,893.0,463.4,1547.4,EP_Solver=Naive,19.0
507.cactuBSSN+CactusBindings_Functions_IOBasic_Functions.c,2444.66,798.0,712.56,1646.6599999999999,EP_Solver=Naive,20.0
526.blender+blender_bin_release_datafiles_startup.blend.c,2508.92,625.4,381.4,1883.52,EP_Solver=Naive,21.0
526.blender+blender_bin_release_datafiles_bfont.ttf.c,2510.38,607.4,398.64,1902.98,EP_Solver=Naive,22.0
gdb-15.2+gnulib_import_exitfail.c,2525.4,863.0,482.8,1662.4,EP_Solver=Naive,23.0
507.cactuBSSN+CactusBindings_Functions_ML_BSSN_Functions.c,2526.42,729.2,641.46,1797.22,EP_Solver=Naive,24.0
502.gcc+version.c,2544.72,668.8,490.28,1875.9199999999998,EP_Solver=Naive,25.0
526.blender+blender_bin_release_datafiles_bfont.pfb.c,2548.8,683.0,554.34,1865.8000000000002,EP_Solver=Naive,26.0
557.xz+common_tuklib_cpucores.c,2584.14,698.8,639.12,1885.34,EP_Solver=Naive,27.0
507.cactuBSSN+CactusBindings_Functions_GaugeWave_Functions.c,2597.24,682.8,662.64,1914.4399999999998,EP_Solver=Naive,28.0
557.xz+common_tuklib_physmem.c,2698.66,682.4,1068.74,2016.2599999999998,EP_Solver=Naive,29.0
emacs-29.4+lib_fingerprint.c,2719.2,1024.0,441.2,1695.1999999999998,EP_Solver=Naive,30.0
502.gcc+safe-ctype.c,2737.52,775.2,586.32,1962.32,EP_Solver=Naive,31.0
ghostscript-10.04.0+obj_jaricom.c,2841.0,937.0,590.8,1904.0,EP_Solver=Naive,32.0
sendmail-8.18.1+sendmail_version.c,2847.6,918.0,557.2,1929.6,EP_Solver=Naive,33.0
525.x264+x264_src_common_mdate.c,2908.3,594.8,1134.08,2313.5,EP_Solver=Naive,34.0
507.cactuBSSN+CactusBindings_Parameters_Global.c,2931.78,493.8,990.64,2437.98,EP_Solver=Naive,35.0
502.gcc+graphite.c,2984.86,1103.2,1222.76,1881.66,EP_Solver=Naive,36.0
ghostscript-10.04.0+base_scantab.c,3023.8,1133.0,529.6,1890.8000000000002,EP_Solver=Naive,37.0
557.xz+liblzma_common_hardware_physmem.c,3032.34,1074.2,1241.72,1958.14,EP_Solver=Naive,38.0
507.cactuBSSN+CactusBindings_Functions_ML_BSSN_Helper_Functions.c,3043.52,661.6,665.2,2381.92,EP_Solver=Naive,39.0
ghostscript-10.04.0+freetype_src_autofit_afblue.c,3228.4,1124.0,587.8,2104.4,EP_Solver=Naive,40.0
526.blender+blender_extern_colamd_Source_colamd_global.c,3268.82,1719.0,776.56,1549.8200000000002,EP_Solver=Naive,41.0
526.blender+blender_source_blender_blenlib_intern_time.c,3297.42,1048.4,1242.18,2249.02,EP_Solver=Naive,42.0
525.x264+x264_src_common_cpu.c,3339.04,1131.4,1292.96,2207.64,EP_Solver=Naive,43.0
507.cactuBSSN+CactusBindings_Parameters_LocalReduce_Parameters.c,3350.52,1081.4,934.82,2269.12,EP_Solver=Naive,44.0
502.gcc+hex.c,3396.04,703.6,1650.06,2692.44,EP_Solver=Naive,45.0
538.imagick+magick_static.c,3549.28,1479.8,1037.54,2069.4800000000005,EP_Solver=Naive,46.0
gdb-15.2+libiberty_safe-ctype.c,3644.2,1265.0,754.6,2379.2,EP_Solver=Naive,47.0
ghostscript-10.04.0+devices_vector_gdevpdtv.c,3730.6,1307.0,576.6,2423.6,EP_Solver=Naive,48.0
502.gcc+getruntime.c,3761.98,1461.8,1497.86,2300.1800000000003,EP_Solver=Naive,49.0
ghostscript-10.04.0+tiff_libtiff_tif_version.c,3818.2,1219.0,987.2,2599.2,EP_Solver=Naive,50.0
sendmail-8.18.1+libsm_flags.c,3828.2,1541.0,793.2,2287.2,EP_Solver=Naive,51.0
sendmail-8.18.1+libsmutil_debug.c,3844.6,1090.0,452.4,2754.6,EP_Solver=Naive,52.0
507.cactuBSSN+CactusBindings_Functions_ADMBase_Functions.c,3957.86,1612.4,728.52,2345.46,EP_Solver=Naive,53.0
ghostscript-10.04.0+tiff_libtiff_tif_fax3sm.c,4013.0,1281.0,784.4,2732.0,EP_Solver=Naive,54.0
emacs-29.4+lib_acl-internal.c,4113.6,1850.0,1020.8,2263.6000000000004,EP_Solver=Naive,55.0
557.xz+liblzma_check_crc32_table.c,4148.12,2289.6,1355.86,1858.52,EP_OVS_Solver=Naive,56.0
557.xz+liblzma_check_crc64_table.c,4149.14,507.2,1182.32,3641.9400000000005,EP_Solver=Naive,57.0
507.cactuBSSN+CactusBindings_Functions_CartGrid3D_Functions.c,4178.62,752.2,1828.76,3426.42,EP_Solver=Naive,58.0
gdb-15.2+gnulib_import_sockets.c,4201.2,2099.0,993.0,2102.2,EP_Solver=Naive,59.0
557.xz+common_tuklib_open_stdxxx.c,4203.26,696.8,669.64,3506.46,EP_Solver=Naive,60.0
526.blender+blender_source_blender_bmesh_operators_bmo_smooth_laplacian.c,4303.98,1824.6,1565.12,2479.3799999999997,EP_Solver=Naive,61.0
gdb-15.2+gnulib_import_dup-safer-flag.c,4324.4,2116.0,980.0,2208.3999999999996,EP_Solver=Naive,62.0
507.cactuBSSN+CactusBindings_Schedule_ScheduleADMCoupling.c,4388.6,906.0,800.1,3482.6000000000004,EP_Solver=Naive,63.0
gdb-15.2+libiberty_filedescriptor.c,4407.0,1829.0,1138.4,2578.0,EP_Solver=Naive,64.0
507.cactuBSSN+ML_BSSN_Helper_RegisterSlicing.c,4551.48,1064.6,1055.0,3486.8799999999997,EP_Solver=Naive,65.0
gdb-15.2+libiberty_getruntime.c,4782.2,2020.0,1216.8,2762.2,EP_Solver=Naive,67.0
emacs-29.4+lib_file-has-acl.c,4825.6,2532.0,1223.6,2293.6000000000004,EP_Solver=Naive,68.0
502.gcc+host-linux.c,4849.86,2957.4,1296.42,1892.4599999999996,EP_Solver=Naive,69.0
emacs-29.4+lib_openat-die.c,4921.2,2323.0,1304.2,2598.2,EP_Solver=Naive,70.0
557.xz+xz_main.c,4966.66,1064.6,986.14,3902.06,EP_Solver=Naive,71.0
557.xz+common_tuklib_exit.c,5164.08,1091.6,1108.96,4072.48,EP_Solver=Naive,72.0
emacs-29.4+lib_binary-io.c,5316.8,2790.0,1502.0,2526.8,EP_Solver=Naive,73.0
526.blender+blender_source_blender_gpu_intern_gpu_init_exit.c,5343.14,2239.8,1570.62,3103.34,EP_Solver=Naive,74.0
507.cactuBSSN+PUGH_FinishReceiveGA.c,5477.78,1058.4,1193.76,4419.379999999999,EP_Solver=Naive,75.0
gdb-15.2+libiberty_stack-limit.c,5532.2,2766.0,1598.6,2766.2,EP_Solver=Naive,76.0
507.cactuBSSN+CactusBindings_Parameters_ADMCoupling_Parameters.c,5542.4,1134.6,1183.22,4407.799999999999,EP_Solver=Naive,77.0
502.gcc+lrealpath.c,5836.9,3128.4,1902.24,2708.4999999999995,EP_Solver=Naive,78.0
emacs-29.4+lib_allocator.c,5855.4,3327.0,1337.4,2528.3999999999996,EP_Solver=Naive,79.0
557.xz+xz_args.c,5862.2,912.0,2155.8,4950.2,EP_Solver=Naive,80.0
ghostscript-10.04.0+psi_zncdummy.c,5975.4,5249.0,2056.8,726.3999999999996,EP_Solver=Naive,81.0
ghostscript-10.04.0+leptonica_src_libversions.c,5989.0,1568.0,1207.4,4421.0,EP_Solver=Naive,82.0
502.gcc+fdmatch.c,6090.5,1982.6,1613.28,4107.9,EP_Solver=Naive,83.0
ghostscript-10.04.0+psi_inouparm.c,6132.8,2608.0,1353.0,3524.8,EP_Solver=Naive,84.0
gdb-15.2+libiberty_fdmatch.c,6224.4,2932.0,1705.6,3292.3999999999996,EP_Solver=Naive,85.0
emacs-29.4+lib_count-one-bits.c,6255.6,3152.0,1836.0,3103.6000000000004,EP_Solver=Naive,86.0
ghostscript-10.04.0+base_gp_upapr.c,6342.0,3631.0,1731.2,2711.0,EP_Solver=Naive,87.0
ghostscript-10.04.0+psi_inobtokn.c,6452.2,3030.0,1648.6,3422.2,EP_Solver=Naive,88.0
557.xz+liblzma_common_vli_size.c,6474.86,1506.4,2225.18,4968.459999999999,EP_Solver=Naive,89.0
ghostscript-10.04.0+freetype_src_psaux_pserror.c,6502.4,2759.0,1559.6,3743.3999999999996,EP_Solver=Naive,90.0
emacs-29.4+lib_dtotimespec.c,6719.2,5379.0,1559.2,1340.1999999999998,EP_OVS_Solver=Naive,91.0
502.gcc+unlink-if-ordinary.c,6744.5,4609.8,2172.4,2134.7,EP_Solver=Naive,92.0
ghostscript-10.04.0+freetype_src_lzw_ftlzw.c,6748.2,3532.0,1621.4,3216.2,EP_Solver=Naive,93.0
gdb-15.2+gnulib_import_openat-die.c,6769.2,3783.0,1899.8,2986.2,EP_Solver=Naive,94.0
emacs-29.4+lib_count-leading-zeros.c,6792.0,3738.0,2119.2,3054.0,EP_Solver=Naive,95.0
emacs-29.4+lib_count-trailing-zeros.c,6798.0,3530.0,2160.8,3268.0,EP_Solver=Naive,96.0
507.cactuBSSN+PUGH_PostSendGA.c,6821.28,1198.0,1440.64,5623.28,EP_Solver=Naive,97.0
gdb-15.2+gnulib_import_hard-locale.c,6825.2,3326.0,1811.6,3499.2,EP_Solver=Naive,98.0
sendmail-8.18.1+libsm_memstat.c,6833.8,4233.0,1908.0,2600.8,EP_Solver=Naive,99.0
507.cactuBSSN+CactusBindings_Functions_IOASCII_Functions.c,6863.24,1691.8,633.96,5171.44,EP_Solver=Naive,100.0
557.xz+common_tuklib_progname.c,6866.64,6101.2,2374.1,765.4400000000005,EP_Solver=Worklist_Policy=LastInFirstOut_LazyCD,101.0
sendmail-8.18.1+sendmail_udb.c,6900.6,3341.0,1806.2,3559.6000000000004,EP_Solver=Naive,102.0
gdb-15.2+gnulib_import_fd-safer.c,6923.4,4769.0,2839.0,2154.3999999999996,EP_Solver=Naive,103.0
502.gcc+auto-inc-dec.c,6949.22,3552.6,2416.98,3396.6200000000003,EP_Solver=Naive,104.0
gdb-15.2+gnulib_import_fd-safer-flag.c,6968.0,5261.0,1822.6,1707.0,EP_Solver=Naive,105.0
507.cactuBSSN+CactusBindings_Parameters_PUGHSlab_Parameters.c,7149.28,1075.6,1488.58,6073.68,EP_Solver=Naive,106.0
gdb-15.2+libiberty_physmem.c,7180.4,3845.0,2291.8,3335.3999999999996,EP_Solver=Naive,107.0
507.cactuBSSN+CactusBindings_Parameters_PUGHReduce_Parameters.c,7234.22,1054.4,879.2,6179.82,EP_Solver=Naive,108.0
ghostscript-10.04.0+freetype_src_base_ftpatent.c,7262.6,4876.0,2151.2,2386.6000000000004,EP_Solver=Naive,109.0
507.cactuBSSN+CactusBindings_Schedule_SchedulePUGHSlab.c,7299.46,809.2,1060.92,6490.26,EP_Solver=Naive,110.0
526.blender+blender_source_blender_blenfont_intern_blf_util.c,7485.54,1826.6,1612.4,5658.9400000000005,EP_Solver=Naive,111.0
gdb-15.2+gnulib_import_count-one-bits.c,7579.8,3677.0,2473.0,3902.8,EP_Solver=Naive,112.0
ghostscript-10.04.0+base_gp_nxpsprn.c,7613.0,3826.0,1865.6,3787.0,EP_Solver=Naive,113.0
gdb-15.2+readline_readline_xfree.c,7773.8,3017.0,1715.0,4756.8,EP_Solver=Naive,114.0
502.gcc+filename_cmp.c,7793.24,3574.6,2645.22,4218.639999999999,EP_Solver=Naive,115.0
gdb-15.2+libiberty_unlink-if-ordinary.c,7803.0,5391.0,2584.6,2412.0,EP_Solver=Naive,116.0
507.cactuBSSN+Cactus_main_DefaultTimers.c,7870.34,1381.6,4159.36,6488.74,EP_Solver=Naive,117.0
ghostscript-10.04.0+psi_zchar2.c,7885.2,7396.0,3029.8,489.1999999999998,EP_Solver=Naive,118.0
507.cactuBSSN+PUGH_PostReceiveGA.c,7914.56,1137.6,2965.44,6776.960000000001,EP_Solver=Naive,119.0
gdb-15.2+libiberty_hex.c,8013.2,1688.0,762.0,6325.2,EP_Solver=Naive,120.0
507.cactuBSSN+CactusBindings_Parameters_PUGHInterp_Parameters.c,8035.54,1049.4,2752.96,6986.139999999999,EP_Solver=Naive,121.0
gdb-15.2+gnulib_import_dup-safer.c,8152.4,2065.0,1271.2,6087.4,EP_Solver=Naive,122.0
502.gcc+xexit.c,8256.42,3746.2,3307.16,4510.22,EP_Solver=Naive,123.0
gdb-15.2+gnulib_import_getprogname.c,8296.0,2164.0,994.2,6132.0,EP_Solver=Naive,124.0
502.gcc+main.c,8352.12,2476.6,2309.1,5875.52,EP_Solver=Naive,125.0
sendmail-8.18.1+libsm_ferror.c,8373.8,7597.0,2488.8,776.7999999999993,EP_Solver=Naive,126.0
sendmail-8.18.1+libsm_clrerr.c,8524.4,7385.0,2224.2,1139.3999999999996,EP_Solver=Naive,127.0
emacs-29.4+lib_timespec.c,8649.2,3922.0,2155.4,4727.200000000001,EP_Solver=Naive,128.0
sendmail-8.18.1+libsm_feof.c,8707.4,7531.0,2388.6,1176.3999999999996,EP_Solver=Naive,129.0
557.xz+xz_signals.c,8714.18,1622.4,1282.56,7091.780000000001,EP_Solver=Naive,130.0
gdb-15.2+bfd_cpu-iamcu.c,8799.8,7715.0,3146.4,1084.7999999999993,EP_Solver=Naive,131.0
gdb-15.2+libiberty_setproctitle.c,9018.2,3227.0,1746.8,5791.200000000001,EP_Solver=Naive,132.0
emacs-29.4+lib_gettime.c,9250.8,5174.0,3110.2,4076.7999999999993,EP_Solver=Naive,133.0
502.gcc+physmem.c,9466.04,2981.2,3645.5,6484.840000000001,EP_Solver=Naive,134.0
gdb-15.2+gnulib_import_localcharset.c,9534.4,5357.0,3256.6,4177.4,EP_Solver=Naive,135.0
ghostscript-10.04.0+lcms2mt_src_cmshalf.c,9669.0,2563.0,1678.6,7106.0,EP_Solver=Naive,136.0
ghostscript-10.04.0+base_scfdtab.c,9866.4,2204.0,1113.6,7662.4,EP_Solver=Naive,137.0
557.xz+liblzma_common_easy_encoder_memusage.c,9989.64,3112.4,1431.68,6877.24,EP_Solver=Naive,138.0
526.blender+blender_source_blender_blenlib_intern_math_base.c,10012.34,3252.0,2336.12,6760.34,EP_Solver=Naive,139.0
557.xz+common_tuklib_mbstr_width.c,10131.12,3450.6,4437.72,6680.52,EP_Solver=Naive,140.0
507.cactuBSSN+PUGHInterp_Startup.c,10191.62,2017.2,5703.14,8174.420000000001,EP_Solver=Naive,141.0
sendmail-8.18.1+libsm_xtrap.c,10508.4,7940.0,2543.6,2568.3999999999996,EP_Solver=Naive,142.0
502.gcc+lbasename.c,10620.38,3788.6,3183.6,6831.779999999999,EP_Solver=Naive,143.0
emacs-29.4+lib_timespec-sub.c,10627.4,4018.0,2148.4,6609.4,EP_Solver=Naive,144.0
gdb-15.2+libiberty_xexit.c,10763.0,4939.0,1941.2,5824.0,EP_Solver=Naive,145.0
ghostscript-10.04.0+base_scfetab.c,11100.4,2893.0,1158.6,8207.4,EP_Solver=Naive,146.0
557.xz+liblzma_common_easy_decoder_memusage.c,11182.84,3150.8,3241.12,8032.04,EP_Solver=Naive,148.0
526.blender+blender_source_blender_imbuf_intern_module.c,11195.86,2522.2,2653.74,8673.66,EP_Solver=Naive,149.0
sendmail-8.18.1+libsmutil_lockfile.c,11463.2,7392.0,3286.8,4071.2000000000007,EP_Solver=Naive,150.0
gdb-15.2+libdecnumber_bid_host-ieee64.c,11813.0,7563.0,2788.6,4250.0,EP_Solver=Naive,151.0
526.blender+spec_glcorearb.c,11840.72,4400.4,3527.18,7440.32,EP_Solver=Naive,152.0
gdb-15.2+libdecnumber_bid_host-ieee128.c,11962.8,7663.0,2787.4,4299.799999999999,EP_Solver=Naive,153.0
gdb-15.2+libdecnumber_bid_host-ieee32.c,12065.6,7709.0,2827.8,4356.6,EP_Solver=Naive,154.0
502.gcc+crc32.c,12150.08,3758.0,3195.56,8392.08,EP_Solver=Naive,155.0
557.xz+liblzma_common_easy_encoder.c,12180.44,9346.8,4351.16,2833.6400000000012,EP_Solver=Naive,156.0
gdb-15.2+gnulib_import_strnlen1.c,12210.6,6599.0,3012.0,5611.6,EP_Solver=Naive,157.0
gdb-15.2+zlib_gzclose.c,12223.6,6259.0,3012.4,5964.6,EP_Solver=Naive,158.0
507.cactuBSSN+CactusBindings_Schedule_ScheduleLocalReduce.c,12325.0,4203.4,3205.38,8121.6,EP_Solver=Naive,159.0
507.cactuBSSN+CactusBindings_Schedule_SchedulePUGHReduce.c,12330.42,4480.4,5036.64,7850.02,EP_Solver=Naive,160.0
507.cactuBSSN+CactusBindings_Parameters_ADMMacros_Parameters.c,12475.14,3992.2,2568.94,8482.939999999999,EP_Solver=Naive,161.0
526.blender+blender_source_blender_editors_armature_meshlaplacian.c,12479.24,6369.4,2593.58,6109.84,EP_Solver=Naive,162.0
ghostscript-10.04.0+psi_zfmd5.c,12541.4,10327.0,3981.4,2214.3999999999996,EP_Solver=Naive,163.0
gdb-15.2+sim_common_sim-signal.c,12612.0,8994.0,3665.4,3618.0,EP_Solver=Naive,164.0
gdb-15.2+libiberty_xmemdup.c,12754.6,9973.0,3757.0,2781.6000000000004,EP_Solver=Naive,165.0
ghostscript-10.04.0+psi_zfsha2.c,12840.6,9966.0,4006.0,2874.6000000000004,EP_Solver=Naive,166.0
557.xz+liblzma_common_easy_preset.c,12842.38,4534.8,4437.26,8307.579999999998,EP_Solver=Naive,167.0
gdb-15.2+libiberty_xstrdup.c,12945.6,9508.0,3231.0,3437.6000000000004,EP_Solver=Naive,168.0
emacs-29.4+lib_timespec-add.c,12991.6,5601.0,2848.8,7390.6,EP_Solver=Naive,169.0
emacs-29.4+lib_get-permissions.c,13058.6,4898.0,3670.4,8160.6,EP_Solver=Naive,170.0
sendmail-8.18.1+libsm_vprintf.c,13122.0,5440.0,2763.8,7682.0,EP_Solver=Naive,171.0
526.blender+blender_source_blender_editors_space_script_script_ops.c,13180.36,3810.4,4033.1,9369.960000000001,EP_Solver=Naive,172.0
gdb-15.2+libiberty_xstrerror.c,13343.0,6674.0,3572.6,6669.0,EP_Solver=Naive,173.0
gdb-15.2+libiberty_xstrndup.c,13403.4,10549.0,3398.0,2854.3999999999996,EP_Solver=Naive,174.0
526.blender+blender_source_blender_modifiers_intern_MOD_none.c,13421.32,4126.4,2809.52,9294.92,EP_Solver=Naive,175.0
gdb-15.2+libiberty_crc32.c,13438.4,4615.0,3385.8,8823.4,EP_Solver=Naive,176.0
ghostscript-10.04.0+freetype_src_sdf_ftsdfcommon.c,13543.8,4888.0,3536.4,8655.8,EP_Solver=Naive,177.0
sendmail-8.18.1+libsm_get.c,13559.2,13384.0,3709.0,175.20000000000073,EP_Solver=Naive,178.0
ghostscript-10.04.0+base_gsbittab.c,13569.4,12635.0,4076.6,934.3999999999996,EP_Solver=Naive,179.0
526.blender+zlib_gzclose.c,13757.52,5804.6,3617.08,7952.92,EP_Solver=Naive,180.0
emacs-29.4+lib_qcopy-acl.c,13832.6,9892.0,3900.0,3940.6000000000004,EP_Solver=Naive,181.0
507.cactuBSSN+Cactus_main_CactusDefaultMainLoopIndex.c,13908.08,2063.8,4388.48,11844.279999999999,EP_Solver=Naive,182.0
507.cactuBSSN+CactusBindings_Functions_IOUtil_Functions.c,14156.62,10990.4,4391.96,3166.220000000001,EP_Solver=Naive,183.0
502.gcc+host-ieee32.c,14176.82,6830.6,3797.96,7346.219999999999,EP_Solver=Naive,184.0
ghostscript-10.04.0+freetype_src_psaux_psread.c,14263.4,12428.0,3573.4,1835.3999999999996,EP_Solver=Naive,185.0
gdb-15.2+gnulib_import_stripslash.c,14312.6,8924.0,3394.2,5388.6,EP_Solver=Naive,186.0
ghostscript-10.04.0+devices_rinkj_rinkj-dither.c,14379.2,11807.0,3915.0,2572.2000000000007,EP_Solver=Naive,187.0
502.gcc+reorg.c,14421.04,11722.0,4693.78,2699.040000000001,EP_Solver=Naive,189.0
507.cactuBSSN+CactusBindings_Parameters_SymBase_Parameters.c,14535.92,3668.6,3760.44,10867.32,EP_Solver=Naive,190.0
507.cactuBSSN+Cactus_main_Subsystems.c,14596.78,3765.6,2946.8,10831.18,EP_Solver=Naive,191.0
502.gcc+xstrdup.c,14727.92,8595.0,3349.02,6132.92,EP_Solver=Naive,192.0
507.cactuBSSN+CactusBindings_Parameters_Fortran_Parameters.c,14836.38,3641.0,3881.98,11195.38,EP_Solver=Naive,193.0
502.gcc+host-ieee64.c,14986.02,6507.4,3727.64,8478.62,EP_Solver=Naive,194.0
502.gcc+xstrndup.c,15265.44,10840.8,4537.6,4424.640000000001,EP_Solver=Naive,195.0
502.gcc+host-ieee128.c,15333.06,7644.6,3282.02,7688.459999999999,EP_Solver=Naive,196.0
